Course,ID,Type
Flight Mechanics,101104061.0,Core
Flight Mechanics,101104062.0,Core
Flight Mechanics,101104069.0,Core
Flight Mechanics,101101083.0,Core
Flight Mechanics,101104066.0,Core
Flight Mechanics,101101079.0,Core
Flight Mechanics,101105089.0,Core
Flight Mechanics,101104330.0,Core
Flight Mechanics,127108778.0,Core
Food Process Engineering,126105548.0,Core
Food Process Engineering,126105011.0,Core
Food Process Engineering,126105018.0,Core
Food Process Engineering,126105015.0,Core
Food Process Engineering,126105013.0,Core
Food Process Engineering,126105336.0,Core
Integrated Soil and Water Management,126103022.0,Core
Integrated Soil and Water Management,126105016.0,Core
Integrated Soil and Water Management,126105012.0,Core
Integrated Soil and Water Management,126105010.0,Core
Architectural Theory,124105003.0,Core
Architectural Theory,124107005.0,Core
Architectural Theory,124107004.0,Core
Architectural Theory,124105001.0,Core
Architectural Theory,124107161.0,Core
Architectural Theory,124107815.0,Core
Architectural Theory,124106814.0,Core
Building Services,124105004.0,Core
Building Services,105107156.0,Core
Building Services,105102176.0,Core
Building Services,105106491.0,Core
Building Services,124105015.0,Core
Building Services,124107012.0,Core
Sustainable Architecture,124105552.0,Core
Sustainable Architecture,124107160.0,Core
Sustainable Architecture,124106157.0,Core
Sustainable Architecture,124107011.0,Core
Sustainable Architecture,105102195.0,Core
Sustainable Architecture,124106813.0,Core
Sustainable Architecture,124107816.0,Core
Materials and Construction Building Services,105106206.0,Core
Materials and Construction Building Services,124105013.0,Core
Materials and Construction Building Services,124106455.0,Core
Materials and Construction Building Services,105102195.0,Core
Materials and Construction Building Services,105106177.0,Core
Urban Planning Building Services,124107158.0,Core
Urban Planning Building Services,124105016.0,Core
Urban Planning Building Services,124107001.0,Core
Urban Planning Building Services,109105185.0,Core
Urban Planning Building Services,105105202.0,Core
Urban Planning Building Services,124107007.0,Core
Urban Infrastructure Planning and Management,105106188.0,Core
Urban Infrastructure Planning and Management,109106089.0,Core
Urban Infrastructure Planning and Management,105106149.0,Core
Urban Infrastructure Planning and Management,124105163.0,Core
Urban Infrastructure Planning and Management,105105204.0,Core
Bioprocesses,102105064.0,Core
Bioprocesses,102106086.0,Core
Bioprocesses,102103672.0,Core
Bioprocesses,102106673.0,Core
Bioprocesses,102106022.0,Core
Bioprocesses,102106069.0,Core
Bioprocesses,102106083.0,Core
Bioengineering,102101068.0,Core
Bioengineering,102104059.0,Core
Bioengineering,102106057.0,Core
Bioengineering,102106340.0,Core
Bioengineering,102106670.0,Core
Biosciences,104105076.0,Core
Biosciences,102106087.0,Core
Biosciences,102107086.0,Core
Biosciences,102103341.0,Core
Biosciences,102108086.0,Core
Biosciences,102106096.0,Core
Biosciences,102103091.0,Core
Biosciences,102106343.0,Core
Biosciences,102105554.0,Core
Biosciences,102106456.0,Core
Computational Biology,102106065.0,Core
Computational Biology,106106145.0,Core
Computational Biology,103106118.0,Core
Computational Biology,111104100.0,Core
Computational Biology,102105099.0,Core
Computational Biology,102106339.0,Core
Computational Biology,102106456.0,Core
Minor 1,103103165.0,Core
Minor 1,103105209.0,Core
Minor 1,103103153.0,Core
Minor 1,103104151.0,Core
Minor 1,103103144.0,Core
Minor 1,103105127.0,Core
Computational Chemical Engineering,127106019.0,Core
Computational Chemical Engineering,103106148.0,Core
Computational Chemical Engineering,103101142.0,Core
Energy and Environment,103106162.0,Core
Energy and Environment,121106014.0,Core
Energy and Environment,103103206.0,Core
Energy and Environment,103107215.0,Core
Minor 2,103103165.0,Core
Minor 2,103105209.0,Core
Minor 2,103103153.0,Core
Minor 2,103104151.0,Core
Minor 2,103103144.0,Core
Minor 2,103105127.0,Core
Minor 3,103103165.0,Core
Minor 3,103105209.0,Core
Minor 3,103103153.0,Core
Minor 3,103104151.0,Core
Minor 3,103103144.0,Core
Minor 3,103105127.0,Core
Polymers and Colloidal Materials,105106205.0,Core
Polymers and Colloidal Materials,105106204.0,Core
Construction Materials Technology,105102012.0,Core
Construction Materials Technology,105106176.0,Core
Construction Materials Technology,105106053.0,Core
Construction Materials Technology,105106206.0,Core
Construction Materials Technology,105103685.0,Core
Construction Materials Technology,127108778.0,Core
Structural Analysis,112106180.0,Core
Structural Analysis,105104160.0,Core
Structural Analysis,105105166.0,Core
Structural Analysis,105105180.0,Core
Structural Analysis,105106151.0,Core
